;================================================= ~~ LFMM/LFTH/Gates ~~ =================================================;
N043.05.53.844:E006.09.09.558:LFTH Gates:Aire transbordement Cargo
N043.05.41.766:E006.09.26.432:LFTH Gates:P-Civ
N043.05.36.476:E006.09.33.980:LFTH Gates:Terminal
N043.05.37.641:E006.08.48.027:LFTH Gates:TWR
N043.05.18.323:E006.09.05.194:LFTH Gates:P-Douanes-Gendarmerie
N043.05.26.914:E006.08.45.215:LFTH Gates:P-Mil
N043.05.36.621:E006.08.54.539:LFTH Gates:VIP
N043.05.22.982:E006.08.56.092:LFTH Gates:HS
N043.05.39.582:E006.08.42.033:LFTH Gates:HN
N043.06.04.166:E006.08.23.450:LFTH Gates:X
N043.06.00.041:E006.08.24.745:LFTH Gates:X
N043.05.53.852:E006.08.29.832:LFTH Gates:X
N043.05.47.300:E006.08.35.197:LFTH Gates:X
N043.05.43.417:E006.08.38.462:LFTH Gates:X
N043.05.41.164:E006.08.40.298:LFTH Gates:X
N043.05.35.742:E006.08.31.259:LFTH Gates:Escale Militaire
N043.05.33.709:E006.08.30.452:LFTH Gates:H1
N043.05.31.535:E006.08.33.353:LFTH Gates:H2
N043.05.28.933:E006.08.37.082:LFTH Gates:H3
N043.05.25.982:E006.08.39.509:LFTH Gates:H4
N043.05.23.419:E006.08.41.641:LFTH Gates:H5
N043.05.21.594:E006.08.43.061:LFTH Gates:H6
N043.05.19.070:E006.08.46.081:LFTH Gates:H7
N043.05.35.158:E006.09.23.704:LFTH Gates:A1
N043.05.35.873:E006.09.23.916:LFTH Gates:A2
N043.05.37.146:E006.09.24.340:LFTH Gates:A3
N043.05.39.651:E006.09.25.007:LFTH Gates:A4

;=============================================== ~~ LFMM/LFTH/Taxiways ~~ ================================================;
N043.05.45.385:E006.08.36.949:LFTH Taxiways:05
N043.06.22.216:E006.09.40.019:LFTH Taxiways:23
N043.05.26.473:E006.09.18.195:LFTH Taxiways:13
N043.05.59.363:E006.08.33.471:LFTH Taxiways:31
N043.05.38.531:E006.08.29.591:LFTH Taxiways:A2
N043.05.41.443:E006.08.35.511:LFTH Taxiways:B2
N043.06.04.887:E006.09.15.544:LFTH Taxiways:C3
N043.06.15.371:E006.09.34.339:LFTH Taxiways:D3
N043.06.08.284:E006.09.29.677:LFTH Taxiways:T3
N043.05.52.364:E006.09.01.780:LFTH Taxiways:T3
N043.05.22.550:E006.09.08.504:LFTH Taxiways:T1
N043.06.18.687:E006.09.43.381:LFTH Taxiways:E3
N043.05.32.981:E006.09.16.454:LFTH Taxiways:T10
N043.05.26.584:E006.09.26.382:LFTH Taxiways:T8
N043.05.43.411:E006.08.46.385:LFTH Taxiways:T2
N043.05.39.068:E006.08.38.107:LFTH Taxiways:T2
N043.05.31.416:E006.08.50.348:LFTH Taxiways:T4
N043.05.39.728:E006.08.54.603:LFTH Taxiways:T4
N043.05.35.420:E006.08.44.151:LFTH Taxiways:T6
