COLOR_GrasSurface
N045.22.07.324 E005.20.06.553
N045.22.04.665 E005.19.54.626
N045.22.00.648 E005.19.40.586
N045.21.59.470 E005.19.37.260
N045.21.52.787 E005.19.25.715
N045.21.51.750 E005.19.24.502
N045.21.51.387 E005.19.23.777
N045.21.52.415 E005.18.30.935
N045.21.52.248 E005.18.30.379
N045.21.51.705 E005.18.29.998
N045.21.41.845 E005.18.28.008
N045.21.38.243 E005.18.36.174
N045.21.36.740 E005.18.44.131
N045.21.38.920 E005.18.47.021
N045.21.38.232 E005.18.52.053
N045.21.39.155 E005.18.53.737
N045.21.39.193 E005.19.39.507
N045.21.23.580 E005.19.48.274
N045.21.22.555 E005.19.49.460
N045.21.22.236 E005.19.51.004
N045.21.22.171 E005.20.02.573
N045.21.26.049 E005.20.00.188
N045.21.26.437 E005.20.00.446
N045.21.27.659 E005.20.05.433
N045.21.30.140 E005.20.03.902
N045.21.33.855 E005.20.04.191
N045.21.36.148 E005.20.04.130
N045.21.35.871 E005.20.18.442
N045.21.33.908 E005.20.18.924
N045.21.33.779 E005.20.36.253
N045.21.38.776 E005.20.36.875
N045.21.38.727 E005.20.56.744
N045.21.40.634 E005.20.57.029
N045.21.40.645 E005.21.06.270
N045.21.44.509 E005.21.07.351
N045.21.45.493 E005.21.07.828
N045.21.46.403 E005.21.08.162
N045.21.47.408 E005.21.08.094
N045.21.52.137 E005.21.08.238
N045.21.52.305 E005.20.13.670

COLOR_HardSurface4
N045.21.47.439 E005.18.44.896
N045.21.47.458 E005.18.48.634
N045.21.47.547 E005.18.48.295
N045.21.47.649 E005.18.48.077
N045.21.47.832 E005.18.47.744
N045.21.48.017 E005.18.47.449
N045.21.48.204 E005.18.47.168
N045.21.48.315 E005.18.46.954
N045.21.48.384 E005.18.46.729
N045.21.48.430 E005.18.46.516
N045.21.48.444 E005.18.46.339
N045.21.48.437 E005.18.46.173
N045.21.48.401 E005.18.45.989
N045.21.48.357 E005.18.45.799
N045.21.48.276 E005.18.45.565
N045.21.48.166 E005.18.45.318
N045.21.48.020 E005.18.45.122
N045.21.47.910 E005.18.45.017
N045.21.47.793 E005.18.44.942
N045.21.47.673 E005.18.44.908

COLOR_HardSurface4
N045.21.29.059 E005.19.55.733
N045.21.29.325 E005.19.55.954
N045.21.30.182 E005.19.55.507
N045.21.30.413 E005.19.54.519
N045.21.31.681 E005.19.53.799
N045.21.33.970 E005.19.52.498
N045.21.36.895 E005.19.50.670
N045.21.36.886 E005.19.50.497
N045.21.36.910 E005.19.50.343
N045.21.36.974 E005.19.50.245
N045.21.37.483 E005.19.49.978
N045.21.37.810 E005.19.49.898
N045.21.37.904 E005.19.49.945
N045.21.37.959 E005.19.50.078
N045.21.37.975 E005.19.50.349
N045.21.37.943 E005.19.51.248
N045.21.37.737 E005.19.51.225
N045.21.37.547 E005.19.51.278
N045.21.37.319 E005.19.51.313
N045.21.37.121 E005.19.51.404
N045.21.36.846 E005.19.51.568
N045.21.36.762 E005.19.58.942
N045.21.37.222 E005.19.59.236
N045.21.37.170 E005.20.02.740
N045.21.37.357 E005.20.02.745
N045.21.37.355 E005.20.04.856
N045.21.37.613 E005.20.04.842
N045.21.37.700 E005.20.04.874
N045.21.37.768 E005.20.04.956
N045.21.37.789 E005.20.05.077
N045.21.37.771 E005.20.09.471
N045.21.37.635 E005.20.09.539
N045.21.37.531 E005.20.09.672
N045.21.37.424 E005.20.09.878
N045.21.37.323 E005.20.10.116
N045.21.37.218 E005.20.10.396
N045.21.37.108 E005.20.10.727
N045.21.37.037 E005.20.11.025
N045.21.36.996 E005.20.11.242
N045.21.36.969 E005.20.11.553
N045.21.36.956 E005.20.12.149
N045.21.36.959 E005.20.12.609
N045.21.37.969 E005.20.12.610
N045.21.38.058 E005.20.01.846
N045.21.38.326 E005.20.00.625
N045.21.38.356 E005.19.52.145
N045.21.38.494 E005.19.51.694
N045.21.38.509 E005.19.51.259
N045.21.38.546 E005.19.49.929
N045.21.38.666 E005.19.49.961
N045.21.38.758 E005.19.50.045
N045.21.39.659 E005.19.51.309
N045.21.40.004 E005.19.51.353
N045.21.40.054 E005.19.51.255
N045.21.39.944 E005.19.51.227
N045.21.39.843 E005.19.51.122
N045.21.38.914 E005.19.49.898
N045.21.38.819 E005.19.49.769
N045.21.38.711 E005.19.49.667
N045.21.38.632 E005.19.49.641
N045.21.38.562 E005.19.49.611
N045.21.38.550 E005.19.48.718
N045.21.38.927 E005.19.48.766
N045.21.39.000 E005.19.48.577
N045.21.38.908 E005.19.47.920
N045.21.38.339 E005.19.47.906
N045.21.38.332 E005.19.49.120
N045.21.38.247 E005.19.49.217
N045.21.38.165 E005.19.49.253
N045.21.38.056 E005.19.49.263
N045.21.37.909 E005.19.49.300
N045.21.36.294 E005.19.50.153
N045.21.28.884 E005.19.54.315

COLOR_HardSurface4
N045.21.35.906 E005.20.18.522
N045.21.35.752 E005.20.18.519
N045.21.35.530 E005.20.28.082
N045.21.35.725 E005.20.28.083

COLOR_HardSurface4
N045.21.25.440 E005.19.53.776
N045.21.25.378 E005.19.54.922
N045.21.23.138 E005.19.56.208
N045.21.23.450 E005.19.57.278
N045.21.22.422 E005.19.57.906
N045.21.22.624 E005.19.58.617
N045.21.24.559 E005.19.58.347
N045.21.24.722 E005.19.58.443
N045.21.25.347 E005.19.58.197
N045.21.25.064 E005.19.57.157
N045.21.26.377 E005.19.56.496
N045.21.27.161 E005.19.55.703
N045.21.26.931 E005.19.55.116

COLOR_GrasSurface2
N045.21.42.956 E005.19.06.388
N045.21.41.410 E005.19.06.433
N045.21.41.409 E005.19.07.182
N045.21.42.662 E005.19.07.103
N045.21.42.769 E005.19.07.149
N045.21.42.865 E005.19.07.244
N045.21.42.962 E005.19.07.458

COLOR_GrasSurface2
N045.21.41.323 E005.19.47.213
N045.21.42.857 E005.19.47.253
N045.21.42.864 E005.19.46.451
N045.21.42.748 E005.19.46.606
N045.21.42.616 E005.19.46.679
N045.21.42.536 E005.19.46.692
N045.21.41.326 E005.19.46.652

COLOR_HardSurface2
N045.21.42.620 E005.18.37.088
N045.21.42.244 E005.18.36.144
N045.21.42.042 E005.18.36.324
N045.21.41.801 E005.18.36.552
N045.21.41.592 E005.18.36.818
N045.21.41.441 E005.18.37.058
N045.21.41.302 E005.18.37.357
N045.21.41.186 E005.18.37.630
N045.21.41.097 E005.18.37.913
N045.21.41.033 E005.18.38.197
N045.21.40.972 E005.18.38.505
N045.21.40.906 E005.18.38.918
N045.21.40.888 E005.18.39.417
N045.21.40.874 E005.18.39.878
N045.21.40.738 E005.19.40.380
N045.21.40.626 E005.19.40.487
N045.21.40.406 E005.19.44.519
N045.21.40.297 E005.19.44.840
N045.21.40.174 E005.19.45.081
N045.21.40.017 E005.19.45.279
N045.21.39.862 E005.19.45.459
N045.21.39.684 E005.19.45.623
N045.21.39.457 E005.19.45.778
N045.21.38.571 E005.19.46.181
N045.21.37.789 E005.19.46.598
N045.21.36.155 E005.19.47.603
N045.21.35.752 E005.19.47.902
N045.21.35.609 E005.19.47.984
N045.21.35.428 E005.19.48.019
N045.21.34.589 E005.19.48.042
N045.21.34.388 E005.19.48.028
N045.21.34.147 E005.19.47.898
N045.21.33.243 E005.19.47.359
N045.21.27.458 E005.19.50.462
N045.21.27.156 E005.19.49.373
N045.21.25.868 E005.19.50.073
N045.21.27.282 E005.19.55.300
N045.21.28.387 E005.19.54.763
N045.21.27.824 E005.19.52.611
N045.21.33.622 E005.19.49.530
N045.21.35.301 E005.19.50.072
N045.21.36.182 E005.19.49.527
N045.21.36.076 E005.19.49.104
N045.21.37.173 E005.19.48.380
N045.21.37.772 E005.19.48.065
N045.21.38.348 E005.19.47.779
N045.21.38.716 E005.19.47.644
N045.21.39.082 E005.19.47.601
N045.21.39.395 E005.19.47.674
N045.21.39.658 E005.19.47.829
N045.21.39.849 E005.19.47.997
N045.21.40.062 E005.19.48.300
N045.21.40.245 E005.19.48.696
N045.21.40.371 E005.19.49.126
N045.21.40.422 E005.19.49.502
N045.21.40.451 E005.19.49.889
N045.21.40.433 E005.19.50.389
N045.21.40.384 E005.19.50.780
N045.21.40.270 E005.19.51.038
N045.21.40.012 E005.19.51.323
N045.21.39.902 E005.20.12.657
N045.21.40.100 E005.20.12.759
N045.21.40.259 E005.20.12.932
N045.21.40.389 E005.20.13.108
N045.21.40.501 E005.20.13.279
N045.21.40.591 E005.20.13.452
N045.21.40.623 E005.20.13.622
N045.21.40.626 E005.20.13.802
N045.21.40.469 E005.20.51.849
N045.21.40.489 E005.20.52.500
N045.21.40.534 E005.20.52.947
N045.21.40.625 E005.20.53.376
N045.21.40.742 E005.20.53.765
N045.21.40.898 E005.20.54.135
N045.21.41.077 E005.20.54.493
N045.21.41.255 E005.20.54.752
N045.21.41.429 E005.20.54.981
N045.21.41.917 E005.20.54.088
N045.21.41.769 E005.20.53.909
N045.21.41.650 E005.20.53.733
N045.21.41.544 E005.20.53.521
N045.21.41.437 E005.20.53.261
N045.21.41.355 E005.20.53.017
N045.21.41.290 E005.20.52.682
N045.21.41.254 E005.20.52.247
N045.21.41.204 E005.20.51.209
N045.21.41.126 E005.20.50.373
N045.21.41.231 E005.20.21.239
N045.21.41.285 E005.20.20.754
N045.21.41.382 E005.20.20.373
N045.21.41.505 E005.20.20.078
N045.21.41.658 E005.20.19.797
N045.21.41.811 E005.20.19.566
N045.21.42.061 E005.20.19.337
N045.21.42.320 E005.20.19.190
N045.21.42.525 E005.20.19.104
N045.21.42.793 E005.20.19.048
N045.21.43.027 E005.20.19.013
N045.21.43.234 E005.20.19.029
N045.21.43.264 E005.20.17.969
N045.21.43.037 E005.20.17.965
N045.21.42.906 E005.20.17.914
N045.21.42.766 E005.20.17.857
N045.21.42.613 E005.20.17.743
N045.21.42.446 E005.20.17.636
N045.21.42.291 E005.20.17.498
N045.21.42.115 E005.20.17.310
N045.21.41.987 E005.20.17.157
N045.21.41.869 E005.20.16.961
N045.21.41.753 E005.20.16.789
N045.21.41.650 E005.20.16.582
N045.21.41.575 E005.20.16.405
N045.21.41.512 E005.20.16.232
N045.21.41.433 E005.20.15.958
N045.21.41.372 E005.20.15.713
N045.21.41.312 E005.20.15.363
N045.21.41.287 E005.20.14.888
N045.21.41.265 E005.20.14.012
N045.21.41.322 E005.19.59.076
N045.21.41.353 E005.19.58.869
N045.21.41.440 E005.19.58.607
N045.21.41.534 E005.19.58.434
N045.21.41.674 E005.19.58.260
N045.21.41.859 E005.19.58.140
N045.21.42.034 E005.19.58.071
N045.21.42.186 E005.19.58.041
N045.21.43.281 E005.19.58.043
N045.21.43.283 E005.19.57.130
N045.21.42.289 E005.19.57.094
N045.21.42.095 E005.19.57.060
N045.21.41.888 E005.19.56.984
N045.21.41.707 E005.19.56.896
N045.21.41.582 E005.19.56.790
N045.21.41.492 E005.19.56.652
N045.21.41.401 E005.19.56.399
N045.21.41.338 E005.19.56.002
N045.21.41.316 E005.19.55.703
N045.21.41.316 E005.19.54.935
N045.21.41.462 E005.19.03.056
N045.21.41.524 E005.19.02.676
N045.21.41.621 E005.19.02.323
N045.21.41.772 E005.19.01.967
N045.21.41.930 E005.19.01.676
N045.21.42.117 E005.19.01.461
N045.21.42.448 E005.19.01.161
N045.21.42.456 E005.18.59.949
N045.21.42.315 E005.18.59.877
N045.21.42.152 E005.18.59.725
N045.21.41.976 E005.18.59.566
N045.21.41.847 E005.18.59.393
N045.21.41.754 E005.18.59.239
N045.21.41.648 E005.18.59.030
N045.21.41.564 E005.18.58.764
N045.21.41.490 E005.18.58.476
N045.21.41.461 E005.18.58.231
N045.21.41.506 E005.18.41.006
N045.21.41.564 E005.18.40.089
N045.21.41.611 E005.18.39.364
N045.21.41.669 E005.18.38.818
N045.21.41.778 E005.18.38.389
N045.21.41.926 E005.18.38.038
N045.21.42.152 E005.18.37.648
N045.21.42.378 E005.18.37.354

COLOR_HardSurface2
N045.21.49.956 E005.20.12.862
N045.21.50.043 E005.20.12.876
N045.21.50.155 E005.20.12.874
N045.21.50.262 E005.20.12.851
N045.21.50.368 E005.20.12.776
N045.21.50.528 E005.20.12.619
N045.21.50.848 E005.20.12.282
N045.21.50.920 E005.20.12.137
N045.21.50.961 E005.20.12.014
N045.21.50.990 E005.20.11.862
N045.21.50.999 E005.20.11.711
N045.21.51.020 E005.20.11.558
N045.21.51.079 E005.20.11.406
N045.21.52.916 E005.20.09.578
N045.21.53.056 E005.20.09.506
N045.21.53.263 E005.20.09.461
N045.21.53.426 E005.20.09.462
N045.21.57.946 E005.20.09.507
N045.21.58.210 E005.20.09.491
N045.21.58.346 E005.20.09.484
N045.21.58.500 E005.20.09.453
N045.21.58.616 E005.20.09.417
N045.21.58.736 E005.20.09.349
N045.21.58.824 E005.20.09.282
N045.21.58.910 E005.20.09.212
N045.21.58.983 E005.20.09.119
N045.21.59.057 E005.20.09.009
N045.21.59.126 E005.20.08.873
N045.21.59.178 E005.20.08.693
N045.21.59.199 E005.20.08.460
N045.21.59.217 E005.20.03.762
N045.21.59.276 E005.20.03.488
N045.21.59.371 E005.20.03.295
N045.21.59.473 E005.20.03.139
N045.21.59.680 E005.20.03.036
N045.22.00.406 E005.20.03.046
N045.22.00.380 E005.19.50.724
N045.22.00.243 E005.19.50.748
N045.21.55.734 E005.19.50.845
N045.21.55.441 E005.19.50.845
N045.21.55.132 E005.19.50.907
N045.21.54.926 E005.19.51.016
N045.21.54.751 E005.19.51.139
N045.21.52.648 E005.19.52.970
N045.21.51.711 E005.19.52.850
N045.21.51.092 E005.19.53.654
N045.21.51.038 E005.19.53.794
N045.21.51.009 E005.19.54.080
