N045.21.46.570 E005.18.37.313 09
N045.21.46.365 E005.20.54.009 27
N045.21.42.035 E005.18.35.725 S1
N045.21.42.525 E005.18.59.205 S2
N045.21.43.345 E005.19.56.115 S3
N045.21.43.205 E005.20.17.095 S4
N045.21.42.325 E005.20.53.365 S5
N045.21.49.645 E005.20.11.565 N7
N045.21.59.795 E005.20.06.475 N7
N045.21.57.015 E005.19.50.135 N6
N045.21.51.235 E005.19.55.555 N6
N045.21.41.030 E005.18.47.430 T1
N045.21.41.036 E005.19.26.375 T2
N045.21.40.969 E005.19.52.421 T3
N045.21.40.929 E005.20.07.444 T4
N045.21.40.877 E005.20.38.940 T5
N045.21.42.324 E005.19.07.768 TH1
N045.21.42.237 E005.19.45.953 TH2
N045.21.37.288 E005.19.47.649 TL
N045.21.39.464 E005.20.18.535 K1
N045.21.39.429 E005.20.26.945 K2
N045.21.39.394 E005.20.33.905 K3
